geoidentifikator,administrativeunit,name_1,name_2,type,localtype,leastdetailedviewingscale,mostdetailedviewingscale,beginlifespanversion,endlifespanversion,languagegeoname,languageiso_639,script,nativeness,namestatus,standardizationdata,sourceofname,responsibleinstitution,grammaticalgender,grammaticalnumber,note_,znacaj,matbro,matbrnas,brojstanovnika,godinapopisa,editdate,geometry
SRBRGI6100040,Суботица,Kelebia,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80438","804541","2142","2011",,POINT(390452.6891999999 5111600.8792)
SRBRGI6100041,Суботица,Szabadka,,"6","6001","1000000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80438","804614","97910","2011",,POINT(396773 5106004.9999)
SRBRGI6100042,Суботица,Palics,,"6","6002","500000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80438","804592","7771","2011",,POINT(404031.7111999998 5106179.259)
SRBRGI6100043,Суботица,Hajdújárás,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80438","804622","2313","2011",,POINT(408294.6281000003 5106876.965)
SRBRGI6100044,Нови Кнежевац,Gyála,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80276","802646","796","2011",,POINT(431247.5349000003 5111658.5611000005)
SRBRGI6100045,Нова Црња,Klári,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80250","802565","1056","2011",,POINT(483639.5373999998 5065708.901699999)
SRBRGI6100046,Пландиште,Torontálújfalu,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80349","803421","160","2011",,POINT(502694.18570000026 5018421.645099999)
SRBRGI6100047,Пландиште,Rárós,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80349","803430","497","2011",,POINT(505043.3024000004 5016877.0955)
SRBRGI6100048,Пландиште,Biószeg,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80349","803324","272","2011",,POINT(506463.28390000015 5012296.1391)
SRBRGI6100049,Пландиште,Nagygáj,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80349","803367","560","2011",,POINT(513605.76389999967 5015260.266100001)
SRBRGI6100050,Вршац,Versecvát,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801038","238","2011",,POINT(519121.42140000034 5008791.770099999)
SRBRGI6100051,Вршац,Kiszsám,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801160","283","2011",,POINT(526430.6381999999 5006376.4932)
SRBRGI6100052,Кикинда,Nákófalva,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80209","802174","1918","2011",,POINT(466217.07239999995 5080035.8708)
SRBRGI6100053,Кикинда,Szenthubert,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80209","802123","2512","2011",,POINT(469226.8576999996 5074216.0888)
SRBRGI6100054,Кикинда,Nagytószeg,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80209","802182","1894","2011",,POINT(469486.2435999997 5069413.5296)
SRBRGI6100055,Житиште,Tamásfalva,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80144","801461","537","2011",,POINT(483851.42229999974 5056752.5492)
SRBRGI6100056,Житиште,Szerbittabé,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80144","801445","1969","2011",,POINT(477931.5875000004 5046044.9958)
SRBRGI6100057,Житиште,Párdány,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80144","801402","838","2011",,POINT(484725.36670000013 5042713.447699999)
SRBRGI6100058,Сечањ,Istvánfölde,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80373","803782","1719","2011",,POINT(478726.4090999998 5033326.7521)
SRBRGI6100059,Вршац,Nagyszered,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801046","1270","2011",,POINT(531638.6427999996 5003006.941199999)
SRBRGI6100060,Вршац,Temeskutas,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801119","1094","2011",,POINT(534795.6065999996 5001672.9672)
SRBRGI6100061,Вршац,Márktelke,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801186","255","2011",,POINT(537173.4764999999 4999705.787699999)
SRBRGI6100062,Вршац,Temesszőllős,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801267","133","2011",,POINT(535311.8729999997 4992831.181399999)
SRBRGI6100063,Вршац,Mélykastély,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801151","748","2011",,POINT(529879.7758999998 4986894.9771)
SRBRGI6100064,Вршац,Vajdalak,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801062","363","2011",,POINT(527499.0505999997 4984896.944599999)
