geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,geometry
SRBRGI5100064,Мркша,Mrkša,"5101","5","71358",2017/02/01 01:00:00+01,POINT(594472.1188000003 4714520.9714)
SRBRGI5100065,Чука,Čuka,"5101","5","71358",2017/02/01 01:00:00+01,POINT(591820.8563000001 4715047.625700001)
SRBRGI5100066,Боровик,Borovik,"5101","5","71358",2017/02/01 01:00:00+01,POINT(592437.4691000003 4718215.6205)
SRBRGI5100067,Костиљњак,Kostiljnjak,"5101","5","71137",2017/02/01 01:00:00+01,POINT(595752.7999999998 4720855.7389)
SRBRGI5100068,Иванкова чука,Ivankova čuka,"5101","5","71137",2017/02/01 01:00:00+01,POINT(599334.5159999998 4717276.977499999)
SRBRGI5100069,Велики Стрешер,Veliki Strešer,"5101","9","71137",2017/02/01 01:00:00+01,POINT(603923.7230000002 4720120.857100001)
SRBRGI5100070,Големи врх,Golemi vrh,"5101","5","71137",2017/02/01 01:00:00+01,POINT(607795.5109000001 4717240.365700001)
SRBRGI5100071,Големи Совршац,Golemi Sovršac,"5101","5","70335",2017/02/01 01:00:00+01,POINT(613059.8260000004 4715173.524900001)
SRBRGI5100072,Бандера,Bandera,"5101","5","70335",2017/02/01 01:00:00+01,POINT(618129.0459000003 4713536.164000001)
SRBRGI5100073,Мармач,Marmač,"5101","5","70335",2017/02/01 01:00:00+01,POINT(620027.2488000002 4703084.5623)
SRBRGI5100074,Гола чука,Gola čuka,"5101","5","70432",2017/02/01 01:00:00+01,POINT(576740.7997000003 4720304.8706)
SRBRGI5100075,Грот,Grot,"5101","9","70432",2017/02/01 01:00:00+01,POINT(574483.5023999996 4719588.1128)
SRBRGI5100076,Пљачковица,Pljačkovica,"5101","5","70432",2017/02/01 01:00:00+01,POINT(573801.7358999997 4715734.3167)
SRBRGI5100077,Китка,Kitka,"5101","5","70432",2017/02/01 01:00:00+01,POINT(569042.9304999998 4715975.2203)
SRBRGI5100078,Свети Илија,Sveti Ilija,"5101","9","70351",2017/02/01 01:00:00+01,POINT(566048.7342999997 4713733.6437)
SRBRGI5100079,Јованчеац,Jovančeac,"5101","5","70726",2017/02/01 01:00:00+01,POINT(585424.8190000001 4746276.040899999)
SRBRGI5100080,Велики врх,Veliki vrh,"5101","5","70653",2017/02/01 01:00:00+01,POINT(474153.3139000004 4854541.0046)
SRBRGI5100081,Обешењак,Obešenjak,"5101","5","71102",2017/02/01 01:00:00+01,POINT(492141.81060000043 4902561.058700001)
