geoidentifikator,name_1,name_2,localtype,znacaj,matbro,matbrnas,brojstanovnika,godinapopisa,editdate,geometry
SRBRGI6000060,Глогоњ,Glogonj,"6003","9","80314","803073","3012","2011",2017/02/01 01:00:00+01,POINT(462763.50820000004 4981469.0645)
SRBRGI6000061,Долово,Dolovo,"6003","9","80314","803081","6146","2011",2017/02/01 01:00:00+01,POINT(490321.0946000004 4972026.391799999)
SRBRGI6000062,Острово,Ostrovo,"6003","7","70394","709646","264","2011",2017/02/01 01:00:00+01,POINT(535380.4512999998 4957093.829600001)
SRBRGI6000063,Велико Градиште,Veliko Gradište,"6002","9","70394","709492","5825","2011",2017/02/01 01:00:00+01,POINT(540966.9332999997 4956956.99)
SRBRGI6000064,Наково,Nakovo,"6003","9","80209","802174","1918","2011",2017/02/01 01:00:00+01,POINT(466217.07239999995 5080035.8708)
SRBRGI6000065,Банатско Велико Село,Banatsko Veliko Selo,"6003","9","80209","802123","2512","2011",2020/10/20 09:47:48+02,POINT(469191.13889999967 5074251.146199999)
SRBRGI6000066,Нови Козарци,Novi Kozarci,"6003","7","80209","802182","1894","2011",2017/02/01 01:00:00+01,POINT(469486.2435999997 5069413.5296)
SRBRGI6000067,Хетин,Hetin,"6003","7","80144","801461","537","2011",2017/02/01 01:00:00+01,POINT(483851.42229999974 5056752.5492)
SRBRGI6000068,Српски Итебеј,Srpski Itebej,"6003","9","80144","801445","1969","2011",2017/02/01 01:00:00+01,POINT(477931.5875000004 5046044.9958)
SRBRGI6000069,Међа,Međa,"6003","7","80144","801402","838","2011",2017/02/01 01:00:00+01,POINT(484725.36670000013 5042713.447699999)
SRBRGI6000070,Крајишник,Krajišnik,"6003","9","80373","803782","1719","2011",2017/02/01 01:00:00+01,POINT(478726.4090999998 5033326.7521)
SRBRGI6000071,Велико Средиште,Veliko Središte,"6003","7","80128","801046","1270","2011",2017/02/01 01:00:00+01,POINT(531638.6427999996 5003006.941199999)
SRBRGI6000072,Гудурица,Gudurica,"6003","7","80128","801119","1094","2011",2017/02/01 01:00:00+01,POINT(534795.6065999996 5001672.9672)
SRBRGI6000073,Марковац,Markovac,"6003","7","80128","801186","255","2011",2017/02/01 01:00:00+01,POINT(537173.4764999999 4999705.787699999)
SRBRGI6000074,Сочица,Sočica,"6003","7","80128","801267","133","2011",2017/02/01 01:00:00+01,POINT(535311.8729999997 4992831.181399999)
SRBRGI6000075,Куштиљ,Kuštilj,"6003","7","80128","801151","748","2011",2017/02/01 01:00:00+01,POINT(529879.7758999998 4986894.9771)
SRBRGI6000076,Војводинци,Vojvodinci,"6003","7","80128","801062","363","2011",2017/02/01 01:00:00+01,POINT(527499.0505999997 4984896.944599999)
SRBRGI6000077,Добричево,Dobričevo,"6003","7","80098","800791","199","2011",2017/02/01 01:00:00+01,POINT(528054.0212000003 4981870.9222)
SRBRGI6000078,Бела Црква,Bela Crkva,"6002","9","80098","800767","9080","2011",2017/02/01 01:00:00+01,POINT(533510.3938999996 4972242.516000001)
SRBRGI6000079,Пожежено,Požeženo,"6003","7","70394","709662","650","2011",2017/02/01 01:00:00+01,POINT(545221.1107999999 4956331.435799999)
SRBRGI6000080,Винци,Vinci,"6003","9","70475","712906","381","2011",2017/02/01 01:00:00+01,POINT(548039.9584999997 4950970.3499)
SRBRGI6000081,Усије,Usije,"6003","6","70475","713104","314","2011",2017/02/01 01:00:00+01,POINT(547512.3779999996 4948146.445800001)
SRBRGI6000082,Радошевац,Radoševac,"6003","5","70475","713066","233","2011",2017/02/01 01:00:00+01,POINT(547772.5071 4946202.9594)
SRBRGI6000083,Голубац,Golubac,"6003","9","70475","712922","1653","2011",2017/02/01 01:00:00+01,POINT(550044.6676000003 4944527.8928)
SRBRGI6000084,Брњица,Brnjica,"6003","9","70475","712892","294","2011",2017/02/01 01:00:00+01,POINT(560935.1676000003 4944726.037599999)
SRBRGI6000085,Добра,Dobra,"6003","9","70475","712957","540","2011",2017/02/01 01:00:00+01,POINT(572061.0087000001 4942875.2849)
SRBRGI6000086,Нови Сип,Novi Sip,"6003","9","70572","716685","767","2011",2017/02/01 01:00:00+01,POINT(622272.4406000003 4944951.7224)
SRBRGI6000087,Торак,Torak,"6003","9","80144","801372","2291","2011",2017/02/01 01:00:00+01,POINT(469328.84169999976 5039499.102)
SRBRGI6000088,Честерег,Čestereg,"6003","7","80144","801470","1113","2011",2017/02/01 01:00:00+01,POINT(463466.5242999997 5045632.670700001)
SRBRGI6000089,Банатско Карађорђево,Banatsko Karađorđevo,"6003","7","80144","801364","2091","2011",2020/10/19 14:14:27+02,POINT(465774.2279000003 5048400.203600001)
SRBRGI6000090,Банатски Двор,Banatski Dvor,"6003","7","80144","801348","1095","2011",2017/02/01 01:00:00+01,POINT(462052.69849999994 5040832.729)
SRBRGI6000091,Житиште,Žitište,"6002","9","80144","801399","2903","2011",2017/02/01 01:00:00+01,POINT(464982.55709999986 5036725.1011)
SRBRGI6000092,Бољетин,Boljetin,"6003","9","70785","726770","512","2011",2017/02/01 01:00:00+01,POINT(581901.3592999997 4930630.773399999)
SRBRGI6000093,Кладушница,Kladušnica,"6003","6","70572","716596","634","2011",2017/02/01 01:00:00+01,POINT(624681.7713000001 4943287.0655000005)
SRBRGI6000094,Равни Тополовац,Ravni Topolovac,"6003","7","80144","801437","1137","2011",2017/02/01 01:00:00+01,POINT(466267.8535000002 5034109.2948)
SRBRGI6000095,Банатско Вишњићево,Banatsko Višnjićevo,"6003","5","80144","801356","258","2011",2017/02/01 01:00:00+01,POINT(475050.0099999998 5032561.726399999)
SRBRGI6000096,Нови Итебеј,Novi Itebej,"6003","6","80144","801429","1147","2011",2017/02/01 01:00:00+01,POINT(476721.7355000004 5044963.7599)
SRBRGI6000097,Банатска Дубица,Banatska Dubica,"6003","7","80373","803723","324","2011",2017/02/01 01:00:00+01,POINT(485997.2368999999 5013370.754899999)
SRBRGI6000098,Иваново,Ivanovo,"6003","7","80314","803090","1053","2011",2017/02/01 01:00:00+01,POINT(476184.30090000015 4954127.3949)
SRBRGI6000099,Јабука,Jabuka,"6003","9","80314","803103","6181","2011",2017/02/01 01:00:00+01,POINT(467947.6895000003 4977201.6107)
SRBRGI6000100,Качарево,Kačarevo,"6002","9","80314","803111","7100","2011",2017/02/01 01:00:00+01,POINT(476214.8540000003 4979237.933800001)
SRBRGI6000101,Омољица,Omoljica,"6003","9","80314","803120","6309","2011",2017/02/01 01:00:00+01,POINT(479189.16980000027 4956079.1117)
SRBRGI6000102,Старчево,Starčevo,"6002","9","80314","803146","7473","2011",2017/02/01 01:00:00+01,POINT(476717.9912999999 4961526.9564)
