geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,shape_length,geometry
SRBRGI4000047,Бучићки виногради,Bučićki vinogradi,"4005","2",,2017/02/01 01:00:00+01,1193.72855010428,"MULTILINESTRING((556748.3658999996 4786322.541999999,556834.3557000002 4785131.9146))"
SRBRGI4000048,Арнаутске ливаде,Arnautske livade,"4006","2","70548",2017/02/01 01:00:00+01,758.414714688183,"MULTILINESTRING((553248.3289000001 4784011.2268,553944.1843999997 4783709.601199999))"
SRBRGI4000049,Големе њиве,Goleme njive,"4004","2","70548",2017/02/01 01:00:00+01,809.737230174198,"MULTILINESTRING((554395.5645000003 4783842.2458999995,555191.4326999998 4783693.0206))"
SRBRGI4000050,Турска ливада,Turska livada,"4006","2","71137",2017/02/01 01:00:00+01,388.828483658004,"MULTILINESTRING((603589.2779000001 4725837.835000001,603741.6782 4725480.1175999995))"
SRBRGI4000051,Голема ливада,Golema livada,"4006","2","70335",2017/02/01 01:00:00+01,1384.05435919731,"MULTILINESTRING((607007.3240999999 4691247.3774999995,607764.034 4690088.5002))"
SRBRGI4000052,Тврда ливада,Tvrda livada,"4006","2","70335",2017/02/01 01:00:00+01,789.472870727529,"MULTILINESTRING((608448.3760000002 4694716.376700001,608505.5261000004 4693928.975099999))"
SRBRGI4000053,Беглак ливаде,Beglak livade,"4006","2","71137",2017/02/01 01:00:00+01,955.686256118812,"MULTILINESTRING((587807.7227999996 4722289.600099999,588569.7242999999 4721712.8072999995))"
SRBRGI4000054,Лазарева шума,Lazareva šuma,"4000","2","70416",2017/02/01 01:00:00+01,930.380136742028,"MULTILINESTRING((587473.0241 4724073.4354,588280.0049 4723610.4136))"
SRBRGI4000055,Големе ливаде,Goleme livade,"4006","2","71137",2017/02/01 01:00:00+01,813.36809999962,"MULTILINESTRING((592160.4933000002 4727514.672800001,592973.8613999998 4727514.672900001))"
SRBRGI4000056,Равна шум,Ravna šum,"4000","2","70416",2017/02/01 01:00:00+01,318.775957613863,"MULTILINESTRING((588889.1823000005 4730538.5834,589173.3453000002 4730394.1206))"
SRBRGI4000057,Режина њива,Režina njiva,"4004","2","70416",2017/02/01 01:00:00+01,739.09144879385,"MULTILINESTRING((582270.4495000001 4733175.488500001,583008.6385000004 4733138.9759))"
SRBRGI4000058,Бандилова шума,Bandilova šuma,"4000","2","70416",2017/02/01 01:00:00+01,337.514599999413,"MULTILINESTRING((587617.3458000002 4733916.239800001,587954.8603999997 4733916.239800001))"
SRBRGI4000059,Дренкина ливада,Drenkina livada,"4006","2","71226",2017/02/01 01:00:00+01,595.0326335065,"MULTILINESTRING((612142.0022 4748008.505899999,612386.5162000004 4748550.978700001))"
SRBRGI4000060,Пашине ливаде,Pašine livade,"4006","3","71358",2017/02/01 01:00:00+01,888.789134815459,"MULTILINESTRING((600027.0091000004 4713272.968,600876.3233000003 4713011.029999999))"
SRBRGI4000061,Ливаде,Livade,"4006","5","6",2017/02/01 01:00:00+01,6290.11954437396,"MULTILINESTRING((413394.3399 5020460.483999999,418728.35059999954 5023794.240700001))"
SRBRGI4000062,Виногради,Vinogradi,"4005","2","70203",2017/02/01 01:00:00+01,1268.88727364817,"MULTILINESTRING((468154.72279999964 4961657.532199999,468065.8225999996 4960391.763))"
SRBRGI4000063,Мала шума,Mala šuma,"4000","2","80314",2017/02/01 01:00:00+01,318.078749603611,"MULTILINESTRING((487572.7888000002 4969753.078,487890.84389999975 4969749.1993))"
SRBRGI4000064,Пашњаци,Pašnjaci,"4007","2","80225",2017/02/01 01:00:00+01,1131.21785038365,"MULTILINESTRING((492172.17619999964 4955526.4518,493303.3816999998 4955521.1658))"
SRBRGI4000065,Равна шума,Ravna šuma,"4000","2","0",2017/02/01 01:00:00+01,1489.21732042377,"MULTILINESTRING((464104.08770000003 4954599.2498,465020.2093000002 4953425.1589))"
SRBRGI4000066,Малозучке ливаде,Malozučke livade,"4006","2","70106",2017/02/01 01:00:00+01,1975.90801186044,"MULTILINESTRING((465734.7235000003 4950298.3881,466902.1997999996 4948704.270300001))"
SRBRGI4000067,Стојничка шума,Stojnička šuma,"4000","2","0",2017/02/01 01:00:00+01,1205.67176986831,"MULTILINESTRING((461719.51910000015 4929560.8311,462429.1330000004 4928586.1042))"
SRBRGI4000068,Матори виногради,Matori vinogradi,"4005","2","70122",2017/02/01 01:00:00+01,2218.37431887736,"MULTILINESTRING((472523.29750000034 4939274.854900001,473962.6337000001 4937586.809900001))"
SRBRGI4000069,Виногради,Vinogradi,"4005","2","70122",2017/02/01 01:00:00+01,708.255065512741,"MULTILINESTRING((478948.9534 4934498.7061,479568.07969999965 4934842.665200001))"
SRBRGI4000070,Виногради,Vinogradi,"4005","2","71099",2017/02/01 01:00:00+01,1663.17697679059,"MULTILINESTRING((484558.5455 4942710.8138,485550.53729999997 4944045.7707))"
SRBRGI4000071,Велике ливаде,Velike livade,"4006","2","71099",2017/02/01 01:00:00+01,860.304556198535,"MULTILINESTRING((495466.0729 4945078.171,496325.9704999998 4945051.7126))"
SRBRGI4000072,Нови виногради,Novi vinogradi,"4005","2","70947",2017/02/01 01:00:00+01,535.544133864545,"MULTILINESTRING((516169.00370000023 4931889.5691,516540.4793999996 4931503.8058))"
SRBRGI4000073,Мала шума,Mala šuma,"4000","2","70394",2017/02/01 01:00:00+01,1087.45257516131,"MULTILINESTRING((536870.8312999997 4943171.7478,537958.2709999997 4943177.0395))"
SRBRGI4000074,Велики виногради,Veliki vinogradi,"4005","2","70807",2017/02/01 01:00:00+01,588.150131116589,"MULTILINESTRING((532528.8425000003 4941265.341,533116.2187000001 4941235.1785))"
SRBRGI4000075,Беглучке ливаде,Beglučke livade,"4006","2","80098",2017/02/01 01:00:00+01,765.983583530149,"MULTILINESTRING((540138.5390999997 4972208.882099999,540832.4301000005 4972533.298699999))"
SRBRGI4000076,Дуга шума,Duga šuma,"4000","2","70475",2017/02/01 01:00:00+01,993.585497508252,"MULTILINESTRING((548536.6617 4945479.6667,549227.2255999995 4944765.2903))"
SRBRGI4000077,Шума,Šuma,"4000","2","70696",2017/02/01 01:00:00+01,1056.87932102334,"MULTILINESTRING((540243.3038999997 4932193.3518,541031.7638999997 4932897.1449))"
SRBRGI4000078,Налта ливаде,Nalta livade,"4006","2","70696",2017/02/01 01:00:00+01,460.327160480745,"MULTILINESTRING((541715.5615999997 4929587.3357,542175.8662 4929582.7783))"
SRBRGI4000079,Букове ливаде,Bukove livade,"4006","2","70696",2017/02/01 01:00:00+01,748.365563294181,"MULTILINESTRING((545424.7856999999 4930126.373299999,545956.5992999999 4929599.851399999))"
SRBRGI4000080,Турска ливада,Turska livada,"4006","2","70572",2017/02/01 01:00:00+01,171.288594395211,"MULTILINESTRING((605729.5229000002 4944933.3982,605826.3606000002 4944792.110400001))"
SRBRGI4000081,Државна шума,Državna šuma,"4000","2","70572",2017/02/01 01:00:00+01,5675.99421509719,"MULTILINESTRING((607665.8372 4936717.875399999,612915.1809999999 4938876.879799999))"
SRBRGI4000082,Велика ливада,Velika livada,"4006","2","70572",2017/02/01 01:00:00+01,1431.27516837628,"MULTILINESTRING((613013.5198999997 4934512.4651,614017.6156000001 4933492.4943))"
SRBRGI4000083,Бајина њива,Bajina njiva,"4004","2","70734",2017/02/01 01:00:00+01,163.235134656683,"MULTILINESTRING((359865.8213999998 4927610.5187,360027.7467 4927589.881200001))"
SRBRGI4000084,Велика њива,Velika njiva,"4004","2","70734",2017/02/01 01:00:00+01,187.432995988752,"MULTILINESTRING((358144.1553999996 4925198.1928,358331.4808 4925191.842800001))"
SRBRGI4000085,Виногради,Vinogradi,"4005","2","70661",2017/02/01 01:00:00+01,455.815271777412,"MULTILINESTRING((373657.8705000002 4918880.8201,374103.95889999997 4918974.482799999))"
SRBRGI4000086,Равна њива,Ravna njiva,"4004","2","70661",2017/02/01 01:00:00+01,475.133051878785,"MULTILINESTRING((361253.2898000004 4913449.9541,361724.7781999996 4913508.6917))"
SRBRGI4000087,Црначка шума,Crnačka šuma,"4000","2","8",2017/02/01 01:00:00+01,3300.29739748446,"MULTILINESTRING((361893.97750000004 4909381.285,364502.77440000046 4911402.705700001))"
SRBRGI4000088,Дебела шума,Debela šuma,"4000","2","70882",2017/02/01 01:00:00+01,528.964441360382,"MULTILINESTRING((379344.0548999999 4904991.215500001,379864.7559000002 4904898.082))"
SRBRGI4000089,Ливаде,Livade,"4006","2","70360",2017/02/01 01:00:00+01,611.194426729429,"MULTILINESTRING((394735.2735000001 4921676.9717,395346.46219999995 4921674.3259))"
SRBRGI4000090,Мала шума,Mala šuma,"4000","2","70360",2017/02/01 01:00:00+01,1304.40116344644,"MULTILINESTRING((419031.8300000001 4909268.6800999995,420076.9363000002 4908488.1577))"
SRBRGI4000091,Бела њива,Bela njiva,"4004","2","70360",2017/02/01 01:00:00+01,354.034951630531,"MULTILINESTRING((405744.8574999999 4898857.7564,406062.35809999984 4898701.1227))"
SRBRGI4000092,Прека њива,Preka njiva,"4004","2","70360",2017/02/01 01:00:00+01,522.479103305943,"MULTILINESTRING((407893.16729999986 4900111.4967,408382.1183000002 4899927.3464))"
SRBRGI4000093,Округла њива,Okrugla njiva,"4004","2","70360",2017/02/01 01:00:00+01,579.712842997936,"MULTILINESTRING((400887.09690000024 4892473.5572999995,401439.5480000004 4892297.8736000005))"
SRBRGI4000094,Вуковића ливаде,Vukovića livade,"4006","2","70360",2017/02/01 01:00:00+01,456.07259048785,"MULTILINESTRING((418976.7383000003 4886853.7191,419432.7600999996 4886846.912799999))"
SRBRGI4000095,Протића ливаде,Protića livade,"4006","2","70629",2017/02/01 01:00:00+01,322.415593931472,"MULTILINESTRING((417893.9735000003 4872945.7217999995,418065.4238999998 4872672.6713))"
SRBRGI4000096,Обренове ливаде,Obrenove livade,"4006","2","70165",2017/02/01 01:00:00+01,453.090469799915,"MULTILINESTRING((438234.7770999996 4911103.3412999995,438687.8605000004 4911100.8102))"
SRBRGI4000097,Пустењкова ливада,Pustenjkova livada,"4006","2","70165",2017/02/01 01:00:00+01,254.055614050113,"MULTILINESTRING((439070.63680000044 4909294.0002,439324.6372999996 4909288.7086))"
SRBRGI4000098,Ливаде,Livade,"4006","2","70165",2017/02/01 01:00:00+01,478.348025544869,"MULTILINESTRING((446803.2971000001 4927383.4835,447281.6228 4927378.862))"
SRBRGI4000099,Шуме,Šume,"4000","2","70483",2017/02/01 01:00:00+01,624.871889784018,"MULTILINESTRING((434941.5875000004 4874779.2994,435566.00549999997 4874803.112))"
SRBRGI4000100,Крајне ливаде,Krajne livade,"4006","2","70769",2017/02/01 01:00:00+01,661.43980709163,"MULTILINESTRING((441086.5541000003 4894353.147,441737.43039999995 4894470.8868))"
SRBRGI4000101,Велике ливадице,Velike livadice,"4006","2","70483",2017/02/01 01:00:00+01,172.213368353343,"MULTILINESTRING((449217.78089999966 4888658.6152,449335.5207000002 4888532.937899999))"
SRBRGI4000102,Виногради,Vinogradi,"4005","2","70173",2017/02/01 01:00:00+01,753.328407305873,"MULTILINESTRING((476852.3585000001 4923279.945800001,477017.45880000014 4924014.959799999))"
SRBRGI4000103,Велике ливаде,Velike livade,"4006","2","70033",2017/02/01 01:00:00+01,744.945134680402,"MULTILINESTRING((460223.2237999998 4906753.003699999,460794.7249999996 4907230.8422))"
SRBRGI4000104,Кадине ливаде,Kadine livade,"4006","2","70033",2017/02/01 01:00:00+01,623.961426154738,"MULTILINESTRING((464189.7898000004 4898065.8015,464556.50299999956 4898570.6274999995))"
SRBRGI4000105,Росића ливаде,Rosića livade,"4006","2","71153",2017/02/01 01:00:00+01,515.0879525645,"MULTILINESTRING((465445.9095999999 4890335.002900001,465920.5730999997 4890535.0283))"
SRBRGI4000106,Шуме,Šume,"4000","2","70645",2017/02/01 01:00:00+01,479.533499999903,"MULTILINESTRING((488782.35500000045 4875429.2294,489261.88850000035 4875429.2294))"
SRBRGI4000107,Шума,Šuma,"4000","2","70645",2017/02/01 01:00:00+01,284.995099999942,"MULTILINESTRING((489538.2867999999 4873122.965600001,489823.2818999998 4873122.965600001))"
SRBRGI4000108,Царева ливада,Careva livada,"4006","2","70521",2017/02/01 01:00:00+01,265.284055870229,"MULTILINESTRING((518947.96779999975 4921210.9377,518957.49289999995 4921476.0507))"
SRBRGI4000109,Велике шуме,Velike šume,"4000","2","71056",2017/02/01 01:00:00+01,400.040098129132,"MULTILINESTRING((512686.7993999999 4889351.2491,513086.82689999975 4889348.0743))"
SRBRGI4000110,Видове ливаде,Vidove livade,"4006","2","70645",2017/02/01 01:00:00+01,391.056400085084,"MULTILINESTRING((505641.89300000016 4876158.2489,505750.37239999976 4876533.958000001))"
SRBRGI4000111,Пећине ливаде,Pećine livade,"4006","2","70645",2017/02/01 01:00:00+01,742.942326281396,"MULTILINESTRING((505364.2494000001 4875127.239600001,505596.9138000002 4875832.810699999))"
SRBRGI4000112,Попове ливаде,Popove livade,"4006","2",,2017/02/01 01:00:00+01,427.61709999945,"MULTILINESTRING((505391.7806000002 4873543.8597,505819.3976999996 4873543.8597))"
SRBRGI4000113,Мајданска шума,Majdanska šuma,"4000","2","70696",2017/02/01 01:00:00+01,3784.42114997513,"MULTILINESTRING((547429.8693000004 4916984.1577,549017.3724999996 4920419.514599999))"
SRBRGI4000114,Витовничка шума,Vitovnička šuma,"4000","2","70912",2017/02/01 01:00:00+01,4656.39413393739,"MULTILINESTRING((546289.2482000003 4908729.1864,548829.2533 4912631.7984))"
SRBRGI4000115,Капетанске ливаде,Kapetanske livade,"4006","2","70785",2017/02/01 01:00:00+01,414.30156368301,"MULTILINESTRING((578787.9105000002 4923118.767200001,579189.0197000001 4923015.0503))"
SRBRGI4000116,Поштанска ливада,Poštanska livada,"4006","2","70785",2017/02/01 01:00:00+01,594.224945186567,"MULTILINESTRING((575039.0296 4921981.351199999,574896.1542999996 4921404.5583999995))"
SRBRGI4000117,Рајкове ливаде,Rajkove livade,"4006","2","70785",2017/02/01 01:00:00+01,643.845587226029,"MULTILINESTRING((577194.0113000004 4921348.7228,577540.0870000003 4920805.796700001))"
SRBRGI4000118,Рашкова ливада,Raškova livada,"4006","2","70491",2017/02/01 01:00:00+01,434.37711716974,"MULTILINESTRING((558538.7684000004 4884198.0471,558973.1336000003 4884201.264699999))"
SRBRGI4000119,Бранкова ливада,Brankova livada,"4006","2","70785",2017/02/01 01:00:00+01,481.036721243574,"MULTILINESTRING((588065.7732999995 4922968.8276,588286.7725999998 4923396.0929000005))"
SRBRGI4000120,Ливаде,Livade,"4006","2","80268",2017/02/01 01:00:00+01,1422.15360643736,"MULTILINESTRING((445760.1456000004 5052757.656199999,446745.7204 5053782.9187))"
SRBRGI4000121,Ливаде,Livade,"4006","2","80268",2017/02/01 01:00:00+01,464.437111817785,"MULTILINESTRING((441897.3071999997 5052896.219699999,442168.50569999963 5053273.251800001))"
SRBRGI4000122,Бечејски мали виногради,Bečejski mali vinogradi,"4005","2","80268",2017/02/01 01:00:00+01,589.042677724218,"MULTILINESTRING((442164.1854999997 5052852.0823,442613.9780000001 5052471.743000001))"
SRBRGI4000123,Виногради,Vinogradi,"4005","2","80152",2017/02/01 01:00:00+01,945.39650848649,"MULTILINESTRING((444200.4495000001 5040849.4132,445145.78110000025 5040838.335100001))"
SRBRGI4000124,Пашњак,Pašnjak,"4007","2","80250",2017/02/01 01:00:00+01,787.807075163539,"MULTILINESTRING((474636.9469999997 5062162.4761,475375.13599999994 5062437.643300001))"
SRBRGI4000125,Пашњак,Pašnjak,"4007","2","80144",2017/02/01 01:00:00+01,1455.7493467761,"MULTILINESTRING((463002.6485000001 5049409.999399999,464409.7915000003 5049036.9649))"
SRBRGI4000126,Бегејски пашњак,Begejski pašnjak,"4007","2","80144",2017/02/01 01:00:00+01,1537.21179517136,"MULTILINESTRING((482442.5354000004 5047522.091700001,483966.5384999998 5047321.007999999))"
SRBRGI4000127,Пашњак,Pašnjak,"4007","2","80144",2017/02/01 01:00:00+01,567.789916016388,"MULTILINESTRING((483889.42059999984 5042575.226299999,484249.2547000004 5043014.4355999995))"
SRBRGI4000128,Матора шума,Matora šuma,"4000","2","80063",2017/02/01 01:00:00+01,1493.45341665152,"MULTILINESTRING((376955.14859999996 5002094.653000001,377928.8172000004 5000962.234099999))"
SRBRGI4000129,Ливаде,Livade,"4006","2","80284",2017/02/01 01:00:00+01,1050.56957599949,"MULTILINESTRING((401148.6085000001 5012837.7261,402180.64080000017 5013034.2096))"
SRBRGI4000130,Ритска шума,Ritska šuma,"4000","2","80101",2017/02/01 01:00:00+01,3949.88907128325,"MULTILINESTRING((382109.5181 5005914.0162,384279.1058 5002613.3325))"
SRBRGI4000131,Катанске ливаде,Katanske livade,"4006","2","80101",2017/02/01 01:00:00+01,326.771827601969,"MULTILINESTRING((396318.38900000043 5004089.8891,396539.3164999997 5003849.117699999))"
SRBRGI4000132,Пашњак,Pašnjak,"4007","2","80403",2017/02/01 01:00:00+01,1510.88796044275,"MULTILINESTRING((389680.1330000004 4996627.398700001,390255.6029000003 4998024.4015))"
SRBRGI4000133,Пашњак,Pašnjak,"4007","2","80403",2017/02/01 01:00:00+01,1184.24035112063,"MULTILINESTRING((396221.5115 4987697.3159,396423.91810000036 4988864.1307))"
SRBRGI4000134,Виногради,Vinogradi,"4005","2","80403",2017/02/01 01:00:00+01,590.290335181675,"MULTILINESTRING((395991.4106999999 4989773.891000001,396347.2759999996 4989302.9318))"
SRBRGI4000135,Беочинске ливаде,Beočinske livade,"4006","2","80101",2017/02/01 01:00:00+01,1005.30804438874,"MULTILINESTRING((401246.5389999999 5001084.5385,402220.48780000024 5001333.673))"
SRBRGI4000136,Карловачки виногради,Karlovački vinogradi,"4005","2","80411",2017/02/01 01:00:00+01,2110.25989218979,"MULTILINESTRING((418653.6852000002 5002913.2664,420709.50179999974 5002437.0155))"
SRBRGI4000137,Пашњак,Pašnjak,"4007","2","80187",2017/02/01 01:00:00+01,2082.4347914968,"MULTILINESTRING((417720.30649999995 4996018.85,418990.3091000002 4994368.508199999))"
SRBRGI4000138,Адатов трстик,Adatov trstik,"4003","2","80136",2017/02/01 01:00:00+01,1308.87114950814,"MULTILINESTRING((436039.3016999997 5029866.284399999,437335.6431 5030046.9572))"
SRBRGI4000139,Ливаде,Livade,"4006","2","80136",2017/02/01 01:00:00+01,2394.21587648703,"MULTILINESTRING((431897.70320000034 5022952.4388,434285.3080000002 5023130.2392))"
SRBRGI4000140,Виногради,Vinogradi,"4005","2","80152",2017/02/01 01:00:00+01,485.052320873371,"MULTILINESTRING((443379.1277999999 5026415.256100001,443864.1672 5026411.7157000005))"
