geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,shape_length,geometry
SRBRGI5016505,Жуто брдо,Žuto brdo,"5003","2","70394",2017/02/01 01:00:00+01,521.647390485182,"MULTILINESTRING((537206 4939363,537610 4939033))"
SRBRGI5016506,Брдо,Brdo,"5002","2","70394",2017/02/01 01:00:00+01,262.373779177722,"MULTILINESTRING((534633 4939641,534779 4939859))"
SRBRGI5016507,Прдола,Prdola,"5002","3","70696",2017/02/01 01:00:00+01,864.398634890176,"MULTILINESTRING((538662 4935884,539455 4935540))"
SRBRGI5016508,Брег,Breg,"5004","2","80373",2017/02/01 01:00:00+01,262.101412013057,"MULTILINESTRING((490634 5027624,490770 5027600,490894 5027600))"
SRBRGI5016509,Велика греда,Velika greda,"5004","2","80039",2017/02/01 01:00:00+01,1777.0001574264,"MULTILINESTRING((498011 5000176,498820 5000620,499493 5001146))"
SRBRGI5016510,Брег,Breg,"5002","4","80217",2017/02/01 01:00:00+01,4173.90298813766,"MULTILINESTRING((476099 5003770,477488 5002032,478703 5000508))"
SRBRGI5016511,Брег Светог Петра,Breg Svetog Petra,"5002","4","80039",2017/02/01 01:00:00+01,1184.17143154297,"MULTILINESTRING((485504 4991407,486055 4991391,486679 4991497))"
SRBRGI5016512,Брег,Breg,"5002","2","80128",2017/02/01 01:00:00+01,1698.14961890948,"MULTILINESTRING((524218 4984305,525054 4984115,525890 4984025))"
SRBRGI5016513,Танка коса,Tanka kosa,"5002","2","71269",2017/02/01 01:00:00+01,251.031870486598,"MULTILINESTRING((378315 4941779,378374 4941535))"
SRBRGI5016514,Брдо,Brdo,"5003","2","71269",2017/02/01 01:00:00+01,215.083704636125,"MULTILINESTRING((381659 4942953,381874 4942947))"
SRBRGI5016515,Лисин,Lisin,"5002","2","71269",2017/02/01 01:00:00+01,149.723077713491,"MULTILINESTRING((380339 4941667,380468 4941743))"
SRBRGI5016516,Брдо,Brdo,"5003","2","71269",2017/02/01 01:00:00+01,140.431477952772,"MULTILINESTRING((381847 4943737,381986 4943717))"
SRBRGI5016517,Карановци,Karanovci,"5002","2","71269",2017/02/01 01:00:00+01,304.384625104488,"MULTILINESTRING((378725 4944190,378930 4944415))"
SRBRGI5016518,Оџино брдо,Odžino brdo,"5003","2","70734",2017/02/01 01:00:00+01,318,"MULTILINESTRING((359649 4930432,359967 4930432))"
