geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,geometry
SRBRGI3102053,Грдина,Grdina,"3101","2","70971",2020/07/17 12:16:39+02,POINT(368708.50549999997 4815206.93)
SRBRGI3102054,Садак,Sadak,"3101","2","70971",2017/02/01 01:00:00+01,POINT(378502.7019999996 4816653.1533)
SRBRGI3102055,Брајковац,Brajkovac,"3101","2","70980",2020/07/17 12:16:39+02,POINT(379223.55989999976 4815772.9266)
SRBRGI3102056,Раваница,Ravanica,"3101","2","70980",2020/07/17 12:16:39+02,POINT(378529.1794999996 4815158.507300001)
SRBRGI3102057,Међед,Međed,"3101","2","70980",2017/02/01 01:00:00+01,POINT(378595.3063000003 4814398.898800001)
SRBRGI3102058,Врела,Vrela,"3101","2","70971",2017/02/01 01:00:00+01,POINT(384763.8145000003 4815863.635)
SRBRGI3102059,Бучје,Bučje,"3101","2","70971",2017/02/01 01:00:00+01,POINT(385504.91390000004 4815544.5469)
SRBRGI3102060,Врела,Vrela,"3101","2","70980",2020/07/17 12:16:39+02,POINT(382623.0621999996 4814865.590299999)
SRBRGI3102061,Минића корита,Minića korita,"3101","2","70980",2020/07/17 12:16:39+02,POINT(382989.3694000002 4814178.325300001)
SRBRGI3102062,Орловаш,Orlovaš,"3101","2","70980",2017/02/01 01:00:00+01,POINT(387838.01439999975 4815851.1996)
SRBRGI3102063,Врело,Vrelo,"3101","2","70980",2017/02/01 01:00:00+01,POINT(388768.5558000002 4815244.244200001)
SRBRGI3102064,Дубревац,Dubrevac,"3101","2","70980",2017/02/01 01:00:00+01,POINT(387728.74120000005 4814654.222200001)
SRBRGI3102065,Јовац,Jovac,"3101","2","70980",2020/07/17 12:16:39+02,POINT(389393.63350000046 4814811.452400001)
SRBRGI3102066,Бронза,Bronza,"3101","2","70980",2020/07/17 12:16:39+02,POINT(389805.53139999975 4813128.533299999)
SRBRGI3102067,Топлик,Toplik,"3101","2","70980",2020/07/17 12:16:39+02,POINT(388759.08910000045 4812948.215)
SRBRGI3102068,Кула,Kula,"3101","2","70866",2020/07/17 12:16:39+02,POINT(392429.7536000004 4813797.300000001)
SRBRGI3102069,Врело,Vrelo,"3101","2","70866",2020/07/17 12:16:39+02,POINT(394306.9916000003 4814452.316400001)
SRBRGI3102070,Црквена чесма,Crkvena česma,"3106","2","70866",2017/02/01 01:00:00+01,POINT(394962.9932000004 4814383.023700001)
SRBRGI3102071,Јелашје,Jelašje,"3101","2","70866",2020/07/16 13:40:35+02,POINT(396533.9084999999 4815800.5781)
SRBRGI3102072,Стублина,Stublina,"3101","2","70866",2017/02/01 01:00:00+01,POINT(396493.0817 4813888.2519000005)
SRBRGI3102073,Пиргина вода,Pirgina voda,"3101","2","70866",2020/07/17 12:16:39+02,POINT(401964.1348000001 4813495.4245)
SRBRGI3102074,Касарна,Kasarna,"3101","2","70866",2017/02/01 01:00:00+01,POINT(403630.23139999993 4812157.873500001)
SRBRGI3102075,Близнаци,Bliznaci,"3101","2","70866",2017/02/01 01:00:00+01,POINT(401765.5502000004 4814155.7991)
SRBRGI3102076,Близнаци,Bliznaci,"3101","2","70866",2017/02/01 01:00:00+01,POINT(401790.9502999997 4814184.3741999995)
SRBRGI3102077,Забој,Zaboj,"3101","2","70866",2017/02/01 01:00:00+01,POINT(402029.0756999999 4814041.4989)
SRBRGI3102078,Вучиска чесма,Vučiska česma,"3106","2","70866",2017/02/01 01:00:00+01,POINT(403698.49399999995 4814658.191)
SRBRGI3102079,Тршће,Tršće,"3101","2","70866",2017/02/01 01:00:00+01,POINT(405343.1473000003 4813979.797900001)
SRBRGI3102080,Суљина чесма,Suljina česma,"3106","2","70866",2017/02/01 01:00:00+01,POINT(405765.9523 4813031.0002)
SRBRGI3102081,Студено врело,Studeno vrelo,"3101","2","70866",2017/02/01 01:00:00+01,POINT(407753.1094000004 4814935.342599999)
SRBRGI3102082,Попова вода,Popova voda,"3101","2","70866",2017/02/01 01:00:00+01,POINT(405504.5434999997 4812195.444399999)
SRBRGI3102083,Кандина вода,Kandina voda,"3101","2","70866",2017/02/01 01:00:00+01,POINT(407821.76889999956 4812717.2037)
SRBRGI3102084,Ковачевац ,Kovačevac,"3101","2","70866",2020/07/17 12:16:39+02,POINT(409573.43120000046 4813102.7234000005)
SRBRGI3102085,Мала,Mala,"3101","2","70866",2020/07/17 12:16:39+02,POINT(411937.58499999996 4814319.914999999)
SRBRGI3102086,Округлица,Okruglica,"3101","2","70866",2020/07/17 12:16:39+02,POINT(417172.40139999986 4812906.4265)
SRBRGI3102087,Штитковачко врело,Štitkovačko vrelo,"3101","2","70866",2020/07/17 12:16:39+02,POINT(418232.69959999993 4814842.392999999)
SRBRGI3102088,Бешковац,Beškovac,"3101","2","70653",2017/02/01 01:00:00+01,POINT(458073.6528000003 4812617.7202)
SRBRGI3102089,Добра вода,Dobra voda,"3101","2","70017",2017/02/01 01:00:00+01,POINT(490477.23840000015 4815273.3484000005)
SRBRGI3102090,Кацмаци,Kacmaci,"3101","2","71064",2020/07/17 12:16:39+02,POINT(593660.9526000004 4813570.0765)
SRBRGI3102091,Блато,Blato,"3101","2","70602",2020/07/16 13:40:35+02,POINT(599049.9753999999 4816763.774800001)
SRBRGI3102092,Штрбановац,Štrbanovac,"3101","2","71064",2017/02/01 01:00:00+01,POINT(583229.4927000003 4817626.028100001)
SRBRGI3102093,Дурлан,Durlan,"3101","2","71064",2020/07/16 13:40:35+02,POINT(582629.1043999996 4819291.558700001)
